,County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Population.2014 Population,Population.Population per Square Mile
2867,King and Queen,VA,20.6,18.7,3.9,14.1,81.5,1.8,0.4,26.9,3.1,0.0,2.4,68.4,65.7,48372,23868,9.2,7175,22.0
2868,King George,VA,11.7,26.2,6.8,31.1,91.1,0.6,1.4,17.3,4.4,0.1,3.2,77.3,73.9,81753,34234,7.1,25371,131.3
2869,King William,VA,14.4,23.5,6.1,19.2,89.4,1.4,0.9,17.5,2.5,0.0,2.3,77.9,76.0,62670,26940,9.5,16186,58.2
2870,Lancaster,VA,35.2,15.0,3.8,28.3,87.9,0.2,0.7,28.0,1.6,0.0,1.1,69.9,68.7,49248,30737,11.7,11044,85.5
2871,Lee,VA,18.8,19.3,5.1,11.7,74.2,0.4,0.3,4.2,1.8,0.0,0.9,94.2,92.8,31308,16664,26.8,24951,58.8
2872,Loudoun,VA,7.9,29.4,7.7,57.9,93.8,0.5,17.3,7.8,13.4,0.1,3.5,70.7,58.8,122238,46565,3.6,363050,605.8
2873,Louisa,VA,17.6,21.0,5.6,18.8,82.5,0.4,0.6,16.7,2.5,0.0,2.2,80.0,78.0,54518,26956,10.3,34348,66.8
2874,Lunenburg,VA,19.7,18.7,4.4,11.9,69.0,0.4,0.3,34.0,4.2,0.2,1.8,63.3,60.2,35237,17630,22.6,12466,29.9
2875,Madison,VA,20.5,21.0,5.0,21.8,79.8,0.3,0.6,9.5,2.1,0.0,2.4,87.2,85.3,53459,27296,13.3,13157,41.5
2876,Mathews,VA,28.2,16.9,3.7,27.2,88.8,0.3,0.7,9.2,2.1,0.1,2.1,87.7,85.8,55192,31342,10.1,8836,104.5
2877,Mecklenburg,VA,23.8,19.1,4.8,13.7,76.9,0.3,0.9,34.9,2.7,0.1,1.7,62.1,60.1,36261,20056,19.6,31192,52.3
2878,Middlesex,VA,29.0,15.6,4.1,27.4,89.0,0.4,0.4,17.7,2.2,0.0,1.8,79.6,77.9,53309,30531,9.4,10696,84.1
2879,Montgomery,VA,11.0,16.0,4.5,42.4,89.6,0.3,5.9,4.2,3.0,0.1,2.2,87.2,84.7,45543,23548,24.5,97244,243.9
2880,Nelson,VA,23.7,18.8,4.5,26.7,80.8,0.5,0.6,12.5,3.5,0.0,1.9,84.4,81.7,48789,26059,14.2,14850,31.9
2881,New Kent,VA,15.1,20.9,4.8,23.2,88.8,1.0,1.1,13.7,2.6,0.0,2.3,81.9,79.7,70618,32068,5.9,20021,87.9
2882,Northampton,VA,24.4,19.9,5.8,20.2,78.1,0.3,0.9,35.2,8.5,0.2,1.8,61.6,54.1,33635,23473,24.3,12121,58.5
2883,Northumberland,VA,34.3,15.9,3.9,22.1,85.6,0.2,0.3,24.8,3.6,0.1,1.2,73.4,70.2,51342,28568,11.1,12251,64.5
2884,Nottoway,VA,18.3,20.4,6.1,12.0,73.8,0.7,0.4,39.4,4.0,0.1,1.5,57.9,55.2,36607,19337,16.8,15579,50.4
2885,Orange,VA,19.7,21.9,5.8,22.2,85.0,0.4,1.1,13.2,4.3,0.1,2.6,82.6,79.0,60287,27655,12.6,35026,98.2
2886,Page,VA,19.8,20.3,5.0,11.4,75.6,0.2,0.4,2.2,1.9,0.0,1.1,96.0,94.4,42906,22355,15.1,23848,77.3
2887,Patrick,VA,24.2,18.1,4.0,10.7,75.3,0.5,0.3,5.8,2.8,0.0,1.0,92.4,89.9,34864,18860,17.1,18264,38.3
2888,Pittsylvania,VA,20.0,19.9,4.3,13.7,79.1,0.3,0.5,21.7,2.4,0.0,1.3,76.3,74.2,42143,21583,14.5,62383,65.5
2889,Powhatan,VA,15.7,19.2,3.9,27.6,85.9,0.3,0.6,12.6,2.0,0.0,1.2,85.2,83.5,76548,31252,5.4,28449,107.8
2890,Prince Edward,VA,15.4,16.5,4.1,21.9,79.5,0.3,1.2,32.6,2.5,0.1,1.7,64.0,62.4,37436,17208,19.8,23074,66.8
2891,Prince George,VA,12.4,21.2,5.2,17.9,86.0,0.8,1.8,32.2,7.6,0.4,3.0,61.8,56.3,63074,24434,8.1,37333,134.7
2892,Prince William,VA,8.3,28.1,7.9,38.1,89.1,1.1,8.4,21.5,22.0,0.2,4.4,64.4,45.7,98071,37401,6.3,446094,1195.0
2893,Pulaski,VA,20.6,18.4,4.8,16.2,81.8,0.2,0.6,5.3,1.5,0.0,1.5,92.4,91.1,44312,23987,13.9,34322,109.0
2894,Rappahannock,VA,23.8,17.6,3.7,32.4,83.0,0.2,0.8,4.6,3.4,0.1,2.0,92.4,89.2,56438,36505,10.8,7361,27.7
2895,Richmond,VA,19.5,17.1,4.0,12.3,73.8,0.4,0.7,30.0,6.5,0.0,1.8,67.0,61.3,47083,20875,12.8,8902,48.3
2896,Roanoke,VA,19.6,20.8,4.8,33.1,90.9,0.2,3.2,5.8,2.7,0.0,1.7,89.0,86.8,60795,31728,6.6,93785,368.7
2897,Rockbridge,VA,24.2,17.4,3.9,23.2,84.4,0.6,0.6,2.7,1.6,0.0,1.5,94.5,93.1,48313,25638,12.6,22327,37.3
2898,Rockingham,VA,18.0,22.4,5.4,23.4,80.7,0.6,0.7,2.1,6.0,0.0,1.5,95.1,90.1,52195,27298,10.4,78171,89.9
2899,Russell,VA,18.8,19.7,5.2,10.5,74.7,0.2,0.2,1.0,1.1,0.0,0.7,97.8,96.9,33872,19735,19.3,28023,61.0
2900,Scott,VA,21.5,18.9,4.8,10.9,74.9,0.3,0.2,0.8,1.3,0.1,0.7,97.9,96.8,38355,21485,18.3,22384,43.3
2901,Shenandoah,VA,20.2,21.5,5.6,19.8,84.6,0.4,0.8,2.4,6.8,0.0,1.6,94.8,88.8,49625,25134,11.7,43021,82.5
2902,Smyth,VA,20.0,20.1,4.9,15.0,79.9,0.2,0.4,2.4,1.8,0.0,1.2,95.9,94.3,37239,20837,18.4,31555,71.4
2903,Southampton,VA,18.0,19.0,4.4,13.6,78.0,0.4,0.3,36.1,1.3,0.0,1.6,61.5,60.7,46150,22433,16.0,18059,31.0
2904,Spotsylvania,VA,12.2,25.6,6.1,28.2,89.1,0.4,2.7,16.1,8.7,0.2,3.3,77.3,70.1,78345,31360,7.6,129188,304.9
2905,Stafford,VA,9.1,26.8,6.4,36.2,92.6,0.7,3.3,18.0,11.3,0.2,3.9,74.0,64.8,97110,36574,5.1,139992,479.5
2906,Surry,VA,19.1,18.2,4.5,16.7,77.8,0.4,0.4,43.8,1.7,0.0,1.8,53.5,52.3,47292,22600,11.5,6790,25.3
2907,Sussex,VA,16.2,16.0,4.6,10.3,70.0,0.4,0.5,57.5,2.8,0.0,1.1,40.5,38.6,39635,16546,15.3,11767,24.7
2908,Tazewell,VA,19.2,19.6,5.0,12.9,77.0,0.2,0.7,3.4,0.9,0.0,1.1,94.6,93.8,35693,21358,18.3,43452,86.9
2909,Warren,VA,14.5,22.6,5.8,20.5,84.0,0.5,1.1,5.1,4.1,0.1,2.1,91.2,87.5,61610,28889,9.3,38987,176.0
2910,Washington,VA,20.3,19.1,4.9,22.3,83.2,0.2,0.6,1.5,1.4,0.0,0.8,97.0,95.6,41897,25109,12.1,54729,97.8
2911,Westmoreland,VA,23.7,18.5,5.4,14.9,79.1,0.8,0.8,27.4,6.1,0.1,2.4,68.5,63.6,49157,25245,12.9,17477,76.1
2912,Wise,VA,15.9,20.0,5.4,13.1,72.9,0.2,0.4,5.4,1.2,0.0,1.0,93.0,92.0,36218,19107,21.9,39935,102.8
2913,Wythe,VA,19.7,20.1,5.0,15.0,81.7,0.2,0.6,2.9,1.1,0.0,1.3,95.1,94.1,41275,23219,14.4,29121,63.3
2914,York,VA,14.6,24.1,5.3,42.0,94.9,0.5,5.5,13.4,5.8,0.2,3.3,77.1,72.5,82073,36373,5.7,66342,624.8
2915,Alexandria city,VA,10.1,17.8,7.5,61.4,91.2,0.8,6.9,22.6,16.6,0.1,3.1,66.4,52.3,85706,54608,8.4,150575,9314.3
2916,Bedford city,VA,0.0,0.0,0.0,25.0,86.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35593,22322,18.7,0,904.6
2917,Bristol city,VA,19.9,20.0,4.5,19.6,81.6,0.3,0.9,5.9,1.7,0.0,1.9,91.0,89.6,32221,18820,21.0,17184,1370.6
2918,Buena Vista city,VA,17.6,21.8,6.3,14.9,77.0,1.2,0.6,5.3,2.5,0.3,2.0,90.7,88.4,36591,18453,20.6,6603,991.9
2919,Charlottesville city,VA,9.5,15.6,5.7,49.9,88.2,0.4,7.1,19.2,4.9,0.1,3.2,69.9,66.1,44601,27268,27.5,45593,4246.4
2920,Chesapeake city,VA,11.8,24.5,6.3,29.3,90.2,0.4,3.4,30.1,5.3,0.1,3.2,62.7,58.9,69743,29905,8.5,233371,652.0
2921,Colonial Heights city,VA,20.1,23.1,7.1,20.5,88.7,0.6,3.3,13.9,5.3,0.2,2.2,79.8,75.8,50835,27610,9.3,17731,2315.3
2922,Covington city,VA,18.9,22.5,7.1,8.3,78.8,0.4,0.8,12.8,2.5,0.0,2.4,83.7,81.5,34319,20160,21.3,5802,1090.2
2923,Danville city,VA,19.7,22.3,6.9,17.2,77.9,0.4,1.2,49.4,3.4,0.1,1.5,47.5,44.8,30786,19626,27.4,42444,1002.8
2924,Emporia city,VA,17.5,23.8,4.2,16.0,71.4,0.5,1.2,63.7,5.5,0.1,1.3,33.2,29.2,32155,19710,29.0,5462,859.7
2925,Fairfax city,VA,15.4,23.5,9.0,51.9,92.0,0.8,17.0,5.4,16.6,0.1,3.4,73.3,58.8,97242,44345,7.2,24483,3616.8
2926,Falls Church city,VA,11.4,26.6,7.3,74.4,97.3,0.5,9.3,5.3,9.5,0.1,4.3,80.6,72.3,120000,59088,4.0,13601,6169.1
2927,Franklin city,VA,17.5,26.2,8.8,20.6,79.4,0.4,0.9,57.3,2.3,0.0,2.1,39.2,37.8,31928,19588,23.0,8526,1045.8
2928,Fredericksburg city,VA,10.1,20.3,7.2,35.1,90.3,0.8,3.0,24.1,10.9,0.1,3.7,68.4,60.0,47040,27222,18.6,28350,2326.2
2929,Galax city,VA,20.0,23.9,7.4,14.5,75.8,0.3,0.6,7.0,14.7,0.3,2.1,89.7,76.8,30325,21769,25.3,7014,854.6
2930,Hampton city,VA,13.7,21.7,6.3,22.5,89.3,0.5,2.4,49.8,5.3,0.2,3.8,43.3,40.1,50705,25247,14.9,136879,2673.2
2931,Harrisonburg city,VA,8.1,16.2,5.3,35.1,81.5,0.7,4.0,8.4,18.6,0.2,2.6,84.1,68.1,38048,17080,33.5,52478,2808.2
2932,Hopewell city,VA,15.7,25.3,7.5,10.2,76.8,0.6,1.1,39.4,7.2,0.2,3.2,55.5,50.4,37933,20388,20.1,22196,2198.0
2933,Lexington city,VA,14.1,12.3,3.7,41.7,78.3,0.3,3.2,9.6,3.8,0.1,2.2,84.6,81.1,36505,14763,25.2,7311,2820.2
2934,Lynchburg city,VA,14.0,20.0,6.5,31.2,86.0,0.5,3.1,28.5,3.3,0.1,2.1,65.7,63.1,38138,21440,24.7,79047,1538.2
2935,Manassas city,VA,8.2,27.0,8.6,28.7,82.6,1.3,6.0,15.1,33.7,0.2,3.7,73.7,43.9,71036,28752,11.7,42081,3827.6
2936,Manassas Park city,VA,7.5,24.9,5.1,26.0,82.9,1.3,10.3,15.0,35.5,0.3,3.7,69.4,38.3,71227,26944,7.0,15174,5632.6
2937,Martinsville city,VA,20.4,23.3,7.5,16.7,77.7,0.4,1.0,45.1,4.8,0.0,2.0,51.4,47.6,28116,19900,27.2,13711,1261.5
2938,Newport News city,VA,11.6,23.5,7.3,23.9,89.2,0.6,3.2,41.1,8.5,0.2,4.0,50.9,45.2,51027,25310,15.2,182965,2630.0
2939,Norfolk city,VA,9.9,20.3,6.9,25.3,86.0,0.7,3.7,42.7,7.5,0.2,3.5,49.2,44.0,44747,24659,19.2,245428,4486.4
2940,Norton city,VA,14.8,22.9,5.6,20.5,81.4,0.3,1.5,6.6,3.3,0.0,2.3,89.3,86.3,39416,22699,18.1,4031,529.1
2941,Petersburg city,VA,15.3,22.1,8.4,14.9,73.7,0.4,1.2,77.6,4.4,0.2,2.2,18.4,15.9,34424,18936,26.7,32701,1413.7
2942,Poquoson city,VA,18.3,21.8,3.6,37.2,92.7,0.4,2.4,1.2,2.3,0.0,1.6,94.4,92.4,81892,38444,5.6,12048,793.2
2943,Portsmouth city,VA,13.9,23.4,7.6,19.5,82.4,0.5,1.4,53.4,4.0,0.1,2.8,41.8,39.3,46166,23138,18.4,96004,2838.8
2944,Radford city,VA,7.9,13.3,3.8,32.1,86.7,0.2,2.4,9.1,3.2,0.1,2.2,86.0,83.2,30714,16181,37.7,17646,1662.1
2945,Richmond city,VA,11.4,18.4,6.3,34.8,81.5,0.6,2.4,49.7,6.6,0.2,2.2,44.7,40.2,40496,27184,25.6,217853,3414.7
2946,Roanoke city,VA,14.9,22.1,7.2,23.6,81.8,0.4,2.3,29.0,5.9,0.1,2.8,65.4,60.7,38145,23295,22.4,99428,2279.8
2947,Salem city,VA,17.1,19.9,5.3,30.8,88.9,0.3,1.9,7.3,3.2,0.0,1.9,88.5,86.0,48733,26661,11.7,25483,1717.9
2948,Staunton city,VA,20.6,18.9,5.8,28.0,84.6,0.3,1.2,12.0,2.8,0.0,2.6,83.8,81.5,38501,24753,18.0,24538,1188.8
2949,Suffolk city,VA,13.0,24.9,6.4,26.2,87.2,0.4,1.8,42.9,3.7,0.1,2.3,52.4,49.9,66085,29135,11.4,86806,211.4
2950,Virginia Beach city,VA,12.3,22.8,6.7,32.9,93.6,0.5,6.8,20.0,7.7,0.2,4.0,68.6,62.9,65219,31934,7.9,450980,1758.9
2951,Waynesboro city,VA,17.4,23.8,7.5,19.1,83.6,0.5,0.9,11.7,7.0,0.0,3.2,83.7,77.8,44847,22872,19.9,21366,1396.8
2952,Williamsburg city,VA,15.8,10.6,3.2,49.8,91.7,0.3,6.4,15.0,7.1,0.1,3.1,75.1,69.2,48616,23127,19.5,14691,1559.3
2953,Winchester city,VA,14.6,22.5,6.7,28.6,83.8,0.9,2.7,11.6,16.4,0.1,3.0,81.8,67.5,44200,26060,20.1,27543,2838.0
2954,Adams,WA,10.2,35.3,10.6,14.0,65.7,5.0,1.5,1.4,62.0,0.1,1.5,90.6,35.6,43926,16940,22.9,19179,9.7
2955,Asotin,WA,20.9,21.0,5.4,17.8,89.6,1.6,0.9,0.6,3.6,0.2,2.4,94.4,91.3,43175,24659,13.6,22189,34.0
2956,Benton,WA,13.4,26.7,7.2,28.9,88.5,1.3,3.0,1.6,20.4,0.2,2.9,91.0,72.3,60485,28583,12.8,186486,103.0
